# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
1.068223517388105365e-01 -5.118437409400939941e-01 -9.205580353736877997e-02 1.476654829457402273e-03 4.307790368795395008e-01 5.228348404169083086e-01 4.940153136849403243e-02 5.738592743873596053e-02 6.977132006795727919e-05 2.413750648884160978e-05 1.616224406187614093e-01 9.237327733385818909e-04 2.560786317589261452e-01
8.468310274183750430e-02 -4.965171217918395996e-01 -7.005996704101562222e-02 1.462313556112349120e-03 4.174205511808395386e-01 4.874805182218551747e-01 4.940142855048179626e-02 5.781628936529159546e-02 6.977131615713006428e-05 5.105848977109417590e-05 1.703363862451988953e-01 3.787911996620712857e-04 2.422374580419889567e-01
7.267604153603315909e-02 -4.469132423400878906e-01 -5.849011242389678955e-02 1.418592804111540361e-03 4.036251693964004739e-01 4.621152818202972634e-01 4.940181672573089322e-02 5.826003253459930559e-02 6.977134498811209964e-05 -6.090799615776631981e-06 1.793095152323681551e-01 1.535614469879209576e-03 2.407538349302557057e-01
9.544940069317817133e-02 -4.671191275119781494e-01 -8.146295547485352118e-02 1.398644538130611138e-03 3.889030486345291249e-01 4.703660041093826183e-01 4.940151795744895935e-02 5.881978608667850356e-02 6.977131397434277460e-05 4.596642756951041655e-05 1.906473428033353124e-01 4.818654848795207528e-04 2.739908083011989848e-01
8.989471001550555784e-02 -3.937276303768157959e-01 -7.614995539188385010e-02 1.374475588090717836e-03 3.733775913715362549e-01 4.495275467634201050e-01 4.940150529146194319e-02 5.908018350601196289e-02 6.977132561587495458e-05 2.140338401659391956e-05 1.959186902757569515e-01 9.790782955486456492e-04 2.744221995512801660e-01
9.750654660165310184e-02 -4.121203422546386719e-01 -8.360544443130493719e-02 1.390110212378203956e-03 3.574248969554901234e-01 4.410303413867950328e-01 4.940186925232410708e-02 5.938542820513248444e-02 6.977131388339330984e-05 1.393550439843238564e-05 2.020886882157118536e-01 1.130236777046728786e-03 2.882144796364417560e-01
7.052971068769693652e-02 -4.232951402664184570e-01 -5.762631893157958707e-02 1.290339161641895771e-03 3.413395702838897816e-01 3.989658892154693826e-01 4.940165244042873244e-02 5.983144566416740556e-02 6.977130560699151558e-05 9.140807378571480724e-07 2.111223553929572894e-01 1.393824325021767634e-03 2.714328378112005336e-01
7.306331992149353582e-02 -3.281656056642532349e-01 -5.965327918529510220e-02 1.341004099231213331e-03 3.240905702114105225e-01 3.837438493967056385e-01 4.940168932080268860e-02 5.999684631824493686e-02 6.977132998144952038e-05 2.044761440629372441e-05 2.144695281253516939e-01 9.984216380508981279e-04 2.764622330479288848e-01
5.318765528500080109e-02 -2.990420758724212646e-01 -4.015825390815734586e-02 1.302940119057893796e-03 3.067586272954940796e-01 3.469168812036514393e-01 4.940136298537254472e-02 6.037393175065517564e-02 6.977131815801839733e-05 2.257230494251416530e-05 2.221106484108431312e-01 9.554192508519282001e-04 2.645272616889103312e-01
7.103939754888415059e-02 -3.055481910705566406e-01 -5.819954872131347795e-02 1.283984875772148327e-03 2.893300145864486916e-01 3.475295633077621349e-01 4.940179362893104553e-02 6.037207692861557007e-02 6.977133225518627481e-05 1.392508535900560565e-04 2.220624494297300799e-01 1.406416978608935600e-03 2.829524000054246535e-01
