# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
1.761713437736034307e-03 1.459150109440088272e-03 4.277892168611287932e-02 4.454063531011342829e-03 5.381143537815660099e-02 1.103251329041086103e-02 2.518664244562387328e-02 3.080439511686563353e-02 5.696103116861195439e-05 -1.247566885922424229e-05 2.230449208602152678e-01 2.756885923758519916e-03 2.730347920010980367e-01
6.708634085953235626e-03 4.435636475682258606e-02 3.497258499264717380e-02 4.168121982365846981e-03 4.067160778213292638e-02 5.699022766202687870e-03 2.518662717193365097e-02 3.011678270995616843e-02 5.696102944057202238e-05 1.665558820604928634e-05 1.957449683187679479e-01 1.600271483664007397e-03 2.364859467774449719e-01
6.875806488096714020e-03 -1.519361510872840881e-02 3.357454543001949648e-02 4.045035247690976013e-03 2.946948218159377644e-02 -4.105062200687825333e-03 2.518655844032764365e-02 2.930408958345651765e-02 5.696103089576353979e-05 3.099308523815125362e-05 1.634812931159573546e-01 1.031023977257746133e-03 2.021318977709255782e-01
8.452436141669749520e-03 2.626508707180619240e-03 2.879632040858268877e-02 3.724875603802502242e-03 2.039787456742487778e-02 -8.398445742204784653e-03 2.518661841750145097e-02 2.864086832851171424e-02 5.696103639820648958e-05 3.560869299690239131e-05 1.371462358945677029e-01 8.477653905940469052e-04 1.705151972975469388e-01
-3.531968034803867167e-03 2.859386708587408066e-02 3.956036139279604097e-02 3.602839284576475707e-03 1.291389046236872742e-02 -2.664647087221965263e-02 2.518662698566913674e-02 2.801271136850118706e-02 5.696103180525824157e-05 3.754582066903821988e-05 1.122057504693998869e-01 7.708539593847231952e-04 1.561398051061571313e-01
2.669441942125558992e-02 1.545242476277053356e-02 6.456919945776462555e-03 3.315134043805301363e-03 7.335117133334278887e-03 8.781973621807992892e-04 2.518644686788320403e-02 2.735246308147907396e-02 5.696104017260950059e-05 1.186365284411294851e-05 8.599927670908960597e-02 1.790541856231911855e-03 9.756187255490328392e-02
3.436953453347087184e-02 -8.418041281402111053e-03 -2.762537728995084589e-03 3.160699643194675359e-03 3.184202406555414026e-03 5.946740135550498615e-03 2.518669702112674713e-02 2.680243719369173119e-02 5.696103144146036221e-05 9.520381354377605021e-06 6.415053832368497466e-02 1.883559803232861662e-03 7.195733549910759974e-02
4.237283449620008607e-02 -2.879130153451114893e-02 -1.217134599573910236e-02 3.020148794166743929e-03 5.324461031705141284e-04 1.270379207562655210e-02 2.518655173480510712e-02 2.620460465550422668e-02 5.696103519312600702e-05 3.164078334521036866e-05 4.042049627825231028e-02 1.005308392888116685e-03 5.661729946104627348e-02
3.428315129131078581e-02 1.110702380537986755e-02 -5.789758963510393749e-03 2.849339204840361899e-03 -6.727944593876600699e-04 5.116964023545733826e-03 2.518624849617481093e-02 2.578607071191072603e-02 5.696103564218901467e-05 1.712228649921598980e-05 2.381546484793867907e-02 1.581765904812771750e-03 3.403632892110220604e-02
2.041166611015796800e-02 2.490356564521789551e-06 6.898138625547290022e-03 2.730980492196977225e-03 -8.910006843507289453e-04 -7.789139752276241779e-03 2.518628891557455132e-02 2.528080493211746355e-02 5.696102775800682274e-05 8.002286622286192684e-05 3.752677373629002139e-03 9.156505168841531581e-04 1.429744700825742211e-02
