# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
3.424227982759475708e-02 -6.896743923425674438e-02 -3.335807956755161563e-02 8.842000825097784671e-05 3.559551723301410814e-02 6.895359680056571683e-02 3.002721257507801056e-02 1.406206041574478149e-01 6.710640573874116117e-03 -6.198332384228706637e-02 3.683105493131154429e+00 2.287723652074455050e+00 6.004275644781412069e+00
3.369985427707433701e-02 -6.777705624699592590e-02 -3.292629905045032362e-02 7.735548351774922961e-05 3.586617745459079465e-02 6.879247650504112521e-02 3.002741504460573058e-02 1.409244790673255809e-01 6.710640294477343906e-03 -6.179599575698375979e-02 3.693193831513270187e+00 2.281469648566585740e+00 6.007667134613823734e+00
3.058007583022117476e-02 -7.067810371518135071e-02 -2.978482246398925920e-02 7.952533997013233602e-05 3.615228533744811734e-02 6.593710780143738348e-02 3.002731800079345634e-02 1.419030517339706365e-01 6.710640434175729578e-03 -6.153270117938518247e-02 3.725798412182371067e+00 2.272708525266389223e+00 6.028371285252720035e+00
3.112673256546259065e-02 -6.752359122037887573e-02 -3.037743382155895164e-02 7.492986660508904064e-05 3.644264303147792816e-02 6.682007685303688327e-02 3.002739641815423827e-02 1.427454799413681030e-01 6.710640434175729578e-03 -6.119005754590034485e-02 3.753841390368160447e+00 2.261291556292331695e+00 6.045585310348655206e+00
2.883980143815279007e-02 -6.268138810992240906e-02 -2.817262746393680434e-02 6.671739647572394731e-05 3.674983456730842452e-02 6.492246203124522885e-02 3.002708554267883440e-02 1.435790762305259594e-01 6.710640573874116117e-03 -6.095949709415435930e-02 3.781652086169634330e+00 2.253636556554656334e+00 6.063527987584703460e+00
2.746407426893711021e-02 -6.537286192178726196e-02 -2.680988088250160079e-02 6.541934635606594384e-05 3.706177137792110443e-02 6.387165226042271216e-02 3.002717718482017517e-02 1.442957803606987055e-01 6.710640573874116117e-03 -6.043362468481063704e-02 3.805506007732220031e+00 2.236116463534657317e+00 6.068497771495734661e+00
2.839396838098764281e-02 -6.432769820094108582e-02 -2.776918224990367751e-02 6.247859200811945444e-05 3.738322034478187839e-02 6.515240259468554895e-02 3.002731818705797057e-02 1.448630377650260981e-01 6.710640713572501789e-03 -5.999813303351402005e-02 3.824374819581421114e+00 2.221602786146148922e+00 6.073809266569481835e+00
2.381189838051795890e-02 -6.322315335273742676e-02 -2.317524999380111625e-02 6.366481866280083155e-05 3.770980760455131670e-02 6.088505759835242948e-02 3.002749476581811905e-02 1.454853191971778870e-01 6.710640341043472464e-03 -5.972841084003448209e-02 3.845070170787155739e+00 2.212607202066568135e+00 6.080916287666187969e+00
2.395427692681550980e-02 -6.143460050225257874e-02 -2.330780290067195962e-02 6.464742327807470614e-05 3.805095255374908725e-02 6.135875545442104340e-02 3.002726919949054787e-02 1.461624830961227306e-01 6.710640480741858135e-03 -5.930197164416313449e-02 3.867658198326437091e+00 2.198422097065908520e+00 6.089452745716295468e+00
2.325789304450154305e-02 -6.040743738412857056e-02 -2.265017740428447793e-02 6.077153957448899610e-05 3.840580433607101302e-02 6.105598174035549441e-02 3.002724591642618249e-02 1.466896519064903315e-01 6.710640294477343906e-03 -5.915628299117088595e-02 3.885218321749569270e+00 2.193571913547444296e+00 6.101501184240873066e+00
2.361876200884580751e-02 -6.343319453299045563e-02 -2.300732843577861855e-02 6.114337447797879848e-05 3.876722976565361023e-02 6.177455820143222531e-02 3.002737369388341904e-02 1.472794368863105663e-01 6.710640573874116117e-03 -5.858779996633529941e-02 3.904839110601490137e+00 2.174630429012048172e+00 6.102538011423795261e+00
2.096865959465503762e-02 -6.179616600275039673e-02 -2.040580585598945548e-02 5.628538565360940993e-05 3.913632035255432129e-02 5.954212620854378024e-02 3.002727236598730018e-02 1.480394333600997814e-01 6.710640480741858135e-03 -5.823208056390285353e-02 3.930165868940459273e+00 2.162791220292266559e+00 6.113419180474369163e+00
