# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
-4.967619746923446766e-01 -1.870665252208709717e-01 5.574806034564971924e-01 6.071862578392028635e-03 8.520729959011077437e-01 2.945923864841460960e-01 1.452441945672035273e-01 4.538663737475871762e-02 -7.812333788024261594e-04 -7.548567431513219855e-04 6.875149639495840015e-01 1.816019960695797479e-04 1.251249031980542714e+00
-5.174228370189666304e-01 -2.052224725484848022e-01 5.763746917247771773e-01 5.895185656845569958e-03 8.837925851345062034e-01 3.074178934097290261e-01 1.452440306544303950e-01 4.618066959083080153e-02 -7.812333729816600897e-04 -7.473026897059753103e-04 6.820477276523156940e-01 2.336115510053574399e-04 1.264551216584943738e+00
-5.452012300491333452e-01 -2.167418599128723145e-01 6.004485547542571799e-01 5.524732172489166260e-03 9.169834673404693159e-01 3.165349125862121360e-01 1.452451214194297735e-01 4.679368138313293179e-02 -7.812333817128092484e-04 -7.184741669334470792e-04 6.778295826633453647e-01 4.320917230513921501e-04 1.284234961313142964e+00
-5.730288386344909446e-01 -2.112324833869934082e-01 6.286455333232879861e-01 5.561669869348406618e-03 9.519193291664123091e-01 3.232737958431243785e-01 1.452442497014999334e-01 4.768666364252567569e-02 -7.812333758920430703e-04 -7.471051147149409665e-04 6.716795071667136519e-01 2.349715134816431072e-04 1.306121681872831619e+00
-6.071154057979584184e-01 -2.294589579105377197e-01 6.618682563304900679e-01 5.475284717977047140e-03 9.886558353900909424e-01 3.267875790596008190e-01 1.452423632144927979e-01 4.839879162609576901e-02 -7.812334144546185122e-04 -6.953649462957400829e-04 6.667722105616831207e-01 5.912081451847305252e-04 1.334706959755335154e+00
-6.357478141784668191e-01 -2.476376593112945557e-01 6.912187576293945535e-01 5.547094438225030726e-03 1.026374125480651767e+00 3.351553618907928689e-01 1.452429711818695179e-01 4.925804659724235257e-02 -7.812334413756615980e-04 -8.431030164501862600e-04 6.608576222513132814e-01 4.259729374210280569e-04 1.358049447256353792e+00
-6.626120209693908691e-01 -2.543318569660186768e-01 7.147664666175842507e-01 5.215444369241595268e-03 1.066454708576202393e+00 3.516882359981536865e-01 1.452426820993423517e-01 4.993347004055977145e-02 -7.812332740286364718e-04 -7.732338417554274201e-04 6.562066376117817734e-01 5.507631887217948768e-05 1.376243624917479647e+00
-6.837137103080749290e-01 -2.698460817337036133e-01 7.388228654861450639e-01 5.510915722697973425e-03 1.108371961116790816e+00 3.695490926504135243e-01 1.452441573143005427e-01 5.072593167424201827e-02 -7.812333740730536668e-04 -7.799639133736491203e-04 6.507540639646894887e-01 8.740184272257930316e-06 1.395096585357804786e+00
-7.248096585273742232e-01 -2.676247358322143555e-01 7.793154895305633989e-01 5.450582923367619168e-03 1.151377797126770020e+00 3.720623075962066761e-01 1.452456414699554443e-01 5.165984854102134705e-02 -7.812333744368516342e-04 -7.094865839462726875e-04 6.443277194493185478e-01 4.939686297225383401e-04 1.429587760532971874e+00
-7.556342840194701926e-01 -2.907245010137557983e-01 8.110406517982482466e-01 5.540637113153934305e-03 1.196723854541778653e+00 3.856832087039947510e-01 1.452441170811653026e-01 5.240416266024112979e-02 -7.812333420588402294e-04 -7.876796182245016532e-04 6.391994132774696524e-01 4.438235637464568473e-05 1.455825084545246506e+00
-7.826032876968384011e-01 -3.317846357822418213e-01 8.378889620304107444e-01 5.528567172586917704e-03 1.244054329395294145e+00 4.061653703451156838e-01 1.452442750334739796e-01 5.324715189635753632e-02 -7.812333889887668626e-04 -7.644803466973826072e-04 6.333958644172430485e-01 1.153439079606262771e-04 1.476928737528201419e+00
-8.211981356143951416e-01 -3.323465436697006226e-01 8.762815773487091509e-01 5.508344015106558453e-03 1.294205474853515669e+00 4.179238885641097800e-01 1.452436015009880010e-01 5.412291660904884616e-02 -7.812333453330211775e-04 -7.457839208655058904e-04 6.273645375744276720e-01 2.440687514005914958e-04 1.509398527689643998e+00
-8.512795448303223100e-01 -3.528851419687271118e-01 9.081578433513641802e-01 5.687829665839671742e-03 1.347317469120025590e+00 4.391596287488937489e-01 1.452442958950996288e-01 5.499318093061447005e-02 -7.812333547917660543e-04 -6.765914040443021804e-04 6.213745910479416823e-01 7.204548041068641398e-04 1.535940718869252208e+00
-8.865878999233245406e-01 -3.688569664955139160e-01 9.452187895774841753e-01 5.863089440390467297e-03 1.401826846599578902e+00 4.566080510616302712e-01 1.452416792511939947e-01 5.601372830569743833e-02 -7.812333991751074574e-04 -7.494849691283888898e-04 6.143412235723560988e-01 2.185903537481922846e-04 1.565641692943978924e+00
-9.251017570495605469e-01 -3.907913416624069214e-01 9.839178800582886186e-01 5.881612002849578684e-03 1.459876334667205899e+00 4.759584456682205422e-01 1.452427551150322071e-01 5.685291811823844910e-02 -7.812334501068107567e-04 -7.762764347717165730e-04 6.085662374428278953e-01 3.412917450604748188e-05 1.598399858678472230e+00
-9.618680179119110107e-01 -4.158181548118591309e-01 1.025391530990600542e+00 6.352351233363151724e-03 1.521101403236389205e+00 4.957098692655563243e-01 1.452453315258026012e-01 5.785355381667613844e-02 -7.812333700712770007e-04 -7.836027914891019030e-04 6.016839012343729864e-01 1.631323632173103504e-05 1.633444096694658620e+00
-9.965582668781280962e-01 -4.363459646701812744e-01 1.059825760126113847e+00 6.326748570427298372e-03 1.585071682929992676e+00 5.252459168434142622e-01 1.452452242374420166e-01 5.897379852831363678e-02 -7.812333933543413877e-04 -7.910512461421603369e-04 5.939708252816683354e-01 6.759501277440598281e-05 1.660190928990983972e+00
-1.038326829671859741e+00 -4.568005204200744629e-01 1.104585945606231689e+00 6.625911407172680075e-03 1.654553103446960494e+00 5.499671459197997825e-01 1.452444702386856135e-01 5.972130075097083907e-02 -7.812333264155313156e-04 -7.280602236278355338e-04 5.888222067702993945e-01 3.660938189243856129e-04 1.700400157602628193e+00
-1.089932942390441806e+00 -4.914900660514831543e-01 1.159346961975097567e+00 6.941402051597833807e-03 1.727745723724365190e+00 5.683987379074096902e-01 1.452440828084945734e-01 6.098317019641399245e-02 -7.812334006302990019e-04 -8.103752224997151643e-04 5.801331867171420908e-01 2.006403380139019736e-04 1.746622191081851350e+00
-1.131351399421691939e+00 -5.326636731624603271e-01 1.205933785438537686e+00 7.458238583058118994e-03 1.803809320926666349e+00 5.978755295276642068e-01 1.452446088194846996e-01 6.171766631305217882e-02 -7.812333904439582987e-04 -6.861618545372039297e-04 5.750777477026206563e-01 6.545615474393144846e-04 1.789124333271655987e+00
-1.170806193351745517e+00 -5.738361179828643799e-01 1.247996366024017423e+00 7.719016820192337210e-03 1.882840418815612704e+00 6.348440587520599587e-01 1.452431395649909918e-01 6.300601214170456488e-02 -7.812333671608940201e-04 -7.752073142910376191e-04 5.662031795031675641e-01 4.148941483820289426e-05 1.821960051762215427e+00
-1.220989930629730269e+00 -5.919116735458374023e-01 1.304033613204956144e+00 8.304368797689675938e-03 1.970925426483154386e+00 6.668917953968047652e-01 1.452436029911041149e-01 6.394212096929549616e-02 -7.812333693436812826e-04 -6.972843737457878454e-04 5.597594685545524973e-01 5.779875593037799063e-04 1.872675438116502056e+00
-1.271997702121734575e+00 -6.292283236980438232e-01 1.359623003005981490e+00 8.762529306113719246e-03 2.062467002868652255e+00 7.028439819812775102e-01 1.452435046434402410e-01 6.511500924825668057e-02 -7.812334137270226858e-04 -7.814230775693431497e-04 5.516838470080994705e-01 1.305833557134040131e-06 1.920070685153751899e+00
