# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std increment_std_rel_error checkpoint_selection_score
3.478543829917907892e+00 8.899769745767116547e-03 1.337177418172359397e-02 3.491915613412857056e-01 5.133684491738677025e-03 -8.238089643418789257e-03 3.546347990632057329e-02 3.213553689420223236e-02 9.384141152575858902e-02 4.564047470487678781e-01
3.286634564399719238e+00 1.174017228186130524e-02 1.336699286475777695e-02 3.300001591444015614e-01 3.429466183297336015e-03 -9.937526565045118679e-03 3.546345271170139174e-02 3.238601125776767453e-02 8.677782952677695616e-02 4.301449815359362772e-01
3.096701622009277344e+00 1.193025428801774979e-02 1.393888536840677192e-02 3.110640466213226429e-01 1.706625969382002863e-03 -1.223225947469472850e-02 3.546351343393325944e-02 3.256183229386806766e-02 8.182159236391103874e-02 4.068245243536404709e-01
2.910907506942749023e+00 1.492464169859886169e-02 1.365971937775611877e-02 2.924567222595214622e-01 -3.632980296970344809e-05 -1.369604915380477975e-02 3.546337522566318790e-02 3.271894641220569888e-02 7.738769352653400435e-02 3.835041351638115992e-01
2.726692461967468173e+00 1.650224998593330383e-02 1.409382093697786331e-02 2.740786194801330677e-01 -1.790070001152344005e-03 -1.588389091193675995e-02 3.546357192099094252e-02 3.288311399519443234e-02 7.276362154023097162e-02 3.609360619573419027e-01
2.546836495399475098e+00 1.801400724798440933e-02 1.403885288164019585e-02 2.560875371098518261e-01 -3.554658428765833204e-03 -1.759351138025522232e-02 3.546362295746803561e-02 3.304734192788601199e-02 6.813407170530111356e-02 3.382604616967931355e-01
2.371807742118835272e+00 2.049013227224349976e-02 1.421633297577500413e-02 2.386024072766304016e-01 -5.334582435898483146e-03 -1.955091543495655199e-02 3.546370714902877946e-02 3.332943618297577043e-02 6.018183482691197295e-02 3.130005750793173891e-01
2.202401971817016690e+00 2.153789903968572617e-02 1.381272608414292266e-02 2.216214746236801203e-01 -7.108056917786598206e-03 -2.092078309506177972e-02 3.546371608972549716e-02 3.344474025070667128e-02 5.693074673431728489e-02 2.923649474421403105e-01
2.036875665187835693e+00 2.415710408240556717e-02 1.362731112167239224e-02 2.050503000617027172e-01 -8.894749684259295464e-03 -2.252206094563007424e-02 3.546359091997146329e-02 3.361949250102043429e-02 5.199976570507184453e-02 2.706773768884469522e-01
1.878124940395355269e+00 2.543834131211042404e-02 1.354098878800868988e-02 1.891665920615196173e-01 -1.067672111093997955e-02 -2.421770989894866943e-02 3.546323850750923018e-02 3.400379754602909227e-02 4.115362902149932722e-02 2.438612098710276344e-01
