# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
9.520319942384957573e-03 -1.458238959312438965e-01 -3.934279084205627441e-04 9.126892022322863124e-04 1.625973150134086553e-01 1.629907429218292181e-01 3.405649699270725528e-02 3.148804269731044631e-02 5.204863613471388817e-03 5.069795437157154430e-03 7.541745399919996817e-02 3.966003207528696548e-03 8.068957431738150998e-02
3.485634028911590437e-02 -1.850970983505249023e-01 -2.576643675565719674e-02 9.089903556741774299e-04 1.703488677740097046e-01 1.961153045296669117e-01 3.405707329511642456e-02 3.103386871516704629e-02 5.204863473773002278e-03 5.221126973628998150e-03 8.876877216264260351e-02 4.775366254930197684e-04 1.159217358994669989e-01
4.379805410280823708e-02 -2.114140689373016357e-01 -3.513918668031692366e-02 8.658867387566715696e-04 1.786616459488868658e-01 2.138008326292037964e-01 3.405669815838337222e-02 3.075672164559364180e-02 5.204863334074616606e-03 5.198911903426051487e-03 9.689654873018023473e-02 1.747506649268454825e-04 1.330763728141806934e-01
9.004613012075423847e-03 -1.835914701223373413e-01 -7.128477096557617404e-04 8.291765290778130727e-04 1.874998912215232738e-01 1.882127389311790411e-01 3.405623845756054063e-02 3.054062705487013002e-02 5.204863566905260260e-03 5.223573464900255030e-03 1.032295861731232917e-01 5.493823992852552018e-04 1.053209928111421279e-01
2.183553334325551848e-02 -2.449036911129951477e-01 -1.374221444129943882e-02 8.093318901956081390e-04 1.969357684254646190e-01 2.106779828667640631e-01 3.405610285699367523e-02 3.042011223733425210e-02 5.204863427206873720e-03 5.137494998052716255e-03 1.067647297995513445e-01 1.978160256182826763e-03 1.232944363872292282e-01
2.626209859736263613e-02 -2.108905389904975891e-01 -1.852093636989593506e-02 7.741161854937673049e-04 2.071788668632507380e-01 2.256998032331466730e-01 3.405650742352008681e-02 3.022832628339528968e-02 5.204863473773002278e-03 5.009336303919554104e-03 1.124067448375100919e-01 5.741257240978035747e-03 1.374430546338778480e-01
2.204396342858672142e-02 -2.533871084451675415e-01 -1.431635916233062709e-02 7.727604301180690310e-04 2.180253565311431885e-01 2.323417156934738104e-01 3.405594751238823215e-02 3.011572621762752602e-02 5.204863473773002278e-03 5.121308472007512699e-03 1.156984780180233818e-01 2.453462841773586169e-03 1.332410604522456521e-01
1.648836019448935916e-02 -2.166985422372817993e-01 -9.138242900371551167e-03 7.350117259193212228e-04 2.284225597977638245e-01 2.375608026981353704e-01 3.405642062425613681e-02 2.981582973152398924e-02 5.204863427206873720e-03 5.202470580115914345e-03 1.245166348922569499e-01 7.026126195965666814e-05 1.344601507805074925e-01
1.434460063464939629e-02 -2.460152953863143921e-01 -7.381007075309753418e-03 6.963593768887221813e-04 2.396002009510994069e-01 2.469812080264091603e-01 3.405614830553531369e-02 2.973925396800041268e-02 5.204863473773002278e-03 5.147017911076546062e-03 1.267581494736002568e-01 1.698535083174856691e-03 1.365340510089735893e-01
1.748587032780051301e-02 -2.565859556198120117e-01 -1.071888953447341919e-02 6.766980630345642133e-04 2.510690391063690186e-01 2.617879286408424377e-01 3.405619598925113678e-02 2.962398752570152144e-02 5.204863520339131702e-03 5.055455537512898272e-03 1.301439674829910909e-01 4.387101333014488402e-03 1.459266564135135447e-01
1.237049698829650987e-04 -2.487037405371665955e-01 6.658823788166045796e-03 6.782528886105865457e-04 2.631519749760627969e-01 2.564931511878967285e-01 3.405668959021568298e-02 2.954820152372121880e-02 5.204863334074616606e-03 5.068599432706833059e-03 1.323818644915314424e-01 4.001090622822319441e-03 1.437200317911303815e-01
-3.112778766080737114e-03 -2.826325595378875732e-01 9.800505638122559288e-03 6.687726534437387748e-04 2.746512085199356301e-01 2.648507028818130604e-01 3.405593708157539368e-02 2.949174903333186964e-02 5.204863380640745163e-03 5.188919603824615479e-03 1.340203335816818886e-01 4.681643843031195180e-04 1.449577762575512963e-01
